Trd, 000021.833, 125
Trd, 000026.708, 102
Trd, 000044.375, 126
Trd, 000056.208, 142
Trd, 000072.042, 131
Trd, 000118.333, 123
Trd, 000122.958, 120
Trd, 000131.292, 129
Trd, 000168.500, 144
Trd, 000168.875, 140
Trd, 000171.542, 145
Trd, 000172.042, 132
Trd, 000184.792, 150
Trd, 000191.042, 133
Trd, 000210.625, 140
Trd, 000215.542, 136
Trd, 000235.875, 139
Trd, 000243.292, 143
Trd, 000247.208, 132
Trd, 000259.500, 121
Trd, 000268.375, 122
Trd, 000281.333, 119
Trd, 000293.042, 125
Trd, 000293.583, 123
